kind,title,source_record,file_url,local_file,bytes,status
legislation,Law on the National Bank of Moldova No 548-XIII of 21 July 1995,https://www.bnm.md/en/content/law-national-bank-moldova-no548-xiii-july-21-1995,https://www.bnm.md/files/Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_2.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\001__Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_2.pdf,510874,downloaded
legislation,Law on the National Bank of Moldova No 548-XIII of 21 July 1995,https://www.bnm.md/en/content/law-national-bank-moldova-no548-xiii-july-21-1995,https://www.bnm.md/files/Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_1.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\002__Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_1.docx,110229,downloaded
legislation,Law on the activity of banks No 202 of 06 October 2017,https://www.bnm.md/en/content/law-banks-activity-no-202-06-october-2017,https://www.bnm.md/files/EN_Law on the activity of banks no_202_2017.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\003__EN_Law on the activity of banks no_202_2017.pdf,796080,downloaded
legislation,Law on the activity of banks No 202 of 06 October 2017,https://www.bnm.md/en/content/law-banks-activity-no-202-06-october-2017,https://www.bnm.md/files/EN_Law on the activity of banks no_202_2017.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\004__EN_Law on the activity of banks no_202_2017.doc,602624,downloaded
legislation,"Law on supplementary supervision of banks, insurers/reinsurers and investment firms in a financial conglomerate No 250 of December 1, 2017 (in force on March 29, 2018)",https://www.bnm.md/en/content/law-supplementary-supervision-banks-insurersreinsurers-and-investment-firms-financial,https://www.bnm.md/files/Lege 250_Engleza.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\005__Lege 250_Engleza.pdf,624085,downloaded
legislation,"Law on supplementary supervision of banks, insurers/reinsurers and investment firms in a financial conglomerate No 250 of December 1, 2017 (in force on March 29, 2018)",https://www.bnm.md/en/content/law-supplementary-supervision-banks-insurersreinsurers-and-investment-firms-financial,https://www.bnm.md/files/Lege 250_Engleza.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\006__Lege 250_Engleza.doc,136704,downloaded
legislation,"Law on Banks Recovery and Resolution No 232, as of 03.10.2016",https://www.bnm.md/en/content/law-banks-recovery-and-resolution-no-232-03102016,"https://www.bnm.md/files/Law on Banks Recovery and Resolution no 232, as of 03_10_2016.pdf","C:\Users\harab\Desktop\BNM_site_inventory\source_files\007__Law on Banks Recovery and Resolution no 232, as of 03_10_2016.pdf",817703,downloaded
legislation,"Law on Banks Recovery and Resolution No 232, as of 03.10.2016",https://www.bnm.md/en/content/law-banks-recovery-and-resolution-no-232-03102016,"https://www.bnm.md/files/Law on Banks Recovery and Resolution no 232, as of 03_10_2016.docx","C:\Users\harab\Desktop\BNM_site_inventory\source_files\008__Law on Banks Recovery and Resolution no 232, as of 03_10_2016.docx",175452,downloaded
legislation,Law on banks liquidation No 550 of 21 July 1995,https://www.bnm.md/en/content/law-financial-institutions-no-550-xiii-21071995,"https://www.bnm.md/files/Law on banks liquidation no 550-XIII, as of 21_07_1995.pdf","C:\Users\harab\Desktop\BNM_site_inventory\source_files\009__Law on banks liquidation no 550-XIII, as of 21_07_1995.pdf",212643,downloaded
legislation,Law on banks liquidation No 550 of 21 July 1995,https://www.bnm.md/en/content/law-financial-institutions-no-550-xiii-21071995,"https://www.bnm.md/files/Law on banks liquidation no 550-XIII, as of 21_07_1995.doc","C:\Users\harab\Desktop\BNM_site_inventory\source_files\010__Law on banks liquidation no 550-XIII, as of 21_07_1995.doc",201216,downloaded
legislation,"Law No 94 of May 13, 2016 on amending and supplementing Law no. 62-XVI of March 21, 2008 on foreign exchange regulation",https://www.bnm.md/ro/content/lege-pentru-modificarea-si-completarea-legii-nr-62-xvi-din-21-martie-2008-privind,https://www.bnm.md/files/Recomandare%20OCDE_ro.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\011__Recomandare OCDE_ro.pdf,268997,already_downloaded
legislation,"Law No 94 of May 13, 2016 on amending and supplementing Law no. 62-XVI of March 21, 2008 on foreign exchange regulation",https://www.bnm.md/ro/content/lege-pentru-modificarea-si-completarea-legii-nr-62-xvi-din-21-martie-2008-privind,https://www.bnm.md/files/Nota tehnică - Indicele prețului imobilului rezidențial.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\012__Nota tehnică - Indicele prețului imobilului rezidențial.pdf,732370,downloaded
legislation,"Law No 94 of May 13, 2016 on amending and supplementing Law no. 62-XVI of March 21, 2008 on foreign exchange regulation",https://www.bnm.md/ro/content/lege-pentru-modificarea-si-completarea-legii-nr-62-xvi-din-21-martie-2008-privind,https://www.bnm.md/files/Strategia%20privind%20politica%20macroprudentiala_v3_1.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\013__Strategia privind politica macroprudentiala_v3_1.pdf,171205,already_downloaded
legislation,"Law No 94 of May 13, 2016 on amending and supplementing Law no. 62-XVI of March 21, 2008 on foreign exchange regulation",https://www.bnm.md/ro/content/lege-pentru-modificarea-si-completarea-legii-nr-62-xvi-din-21-martie-2008-privind,https://www.bnm.md/files/ISAP1_Final_WebVersion.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\014__ISAP1_Final_WebVersion.pdf,252070,already_downloaded
