id,kind,title,file_url,source_record,original,raw,source_file_sha256,body_sha256,extraction_status
1,legislation,Law on the National Bank of Moldova No 548-XIII of 21 July 1995,https://www.bnm.md/files/Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_2.pdf,https://www.bnm.md/en/content/law-national-bank-moldova-no548-xiii-july-21-1995,original/001__Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_2.pdf,documents/001__Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_2.pdf.md,5a40c03c1f3948038374ee3afe8f99c47096515b3d88835367b3baa05945cd7a,acf5ca80e89d2a29294afc805c4cbbaa58b1a24053b0388cd5fe192f275e9f27,text-extracted
2,legislation,Law on the National Bank of Moldova No 548-XIII of 21 July 1995,https://www.bnm.md/files/Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_1.docx,https://www.bnm.md/en/content/law-national-bank-moldova-no548-xiii-july-21-1995,original/002__Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_1.docx,documents/002__Law on the National Bank of Moldova no_ 548-XIII of July 21 1995_02_08_2024_1.docx.md,5667b5836a3186526e9b333f204fcfe26f154ee433b8f20251f54d3d48f3c4f9,f9eb81396fae57c65ee7133de3d69c06fdde66782dabfd9755c84370bb30c79f,text-extracted
3,legislation,Law on the activity of banks No 202 of 06 October 2017,https://www.bnm.md/files/EN_Law on the activity of banks no_202_2017.pdf,https://www.bnm.md/en/content/law-banks-activity-no-202-06-october-2017,original/003__EN_Law on the activity of banks no_202_2017.pdf,documents/003__EN_Law on the activity of banks no_202_2017.pdf.md,9972a5689265014ff45f8e88fb4958cbc995594139516d04c6963dc66aee1dd3,9a12a0ad6a3f3d965a7915332147b607076f7e957b63a220bc54ce1df32c7753,text-extracted
4,legislation,Law on the activity of banks No 202 of 06 October 2017,https://www.bnm.md/files/EN_Law on the activity of banks no_202_2017.doc,https://www.bnm.md/en/content/law-banks-activity-no-202-06-october-2017,original/004__EN_Law on the activity of banks no_202_2017.doc,documents/004__EN_Law on the activity of banks no_202_2017.doc.md,32c3acdadafe4b14a41f4f97180ef2b091c55620e513a945c3f344352ca089fc,78c71bf849247b0f941a792833725c6716387c5bfc93297ebeee7638e9bd89b1,text-extracted
5,legislation,"Law on supplementary supervision of banks, insurers/reinsurers and investment firms in a financial conglomerate No 250 of December 1, 2017 (in force on March 29, 2018)",https://www.bnm.md/files/Lege 250_Engleza.pdf,https://www.bnm.md/en/content/law-supplementary-supervision-banks-insurersreinsurers-and-investment-firms-financial,original/005__Lege 250_Engleza.pdf,documents/005__Lege 250_Engleza.pdf.md,a4d6b75e6bfdcfcf793edd5e1af2c7bcfe9ac99ead360ce1c0e958ee637ce893,0073b892c8a18b4b77122b32142e207e9900ec05476683286eff77a85c4a08bc,text-extracted
6,legislation,"Law on supplementary supervision of banks, insurers/reinsurers and investment firms in a financial conglomerate No 250 of December 1, 2017 (in force on March 29, 2018)",https://www.bnm.md/files/Lege 250_Engleza.doc,https://www.bnm.md/en/content/law-supplementary-supervision-banks-insurersreinsurers-and-investment-firms-financial,original/006__Lege 250_Engleza.doc,documents/006__Lege 250_Engleza.doc.md,3e5fdde157f45a6b6b2086bffe4fd92ff46b74aadf4f8bdb75cd1d3626c45179,fd09ddefcf7e9c83f3a4133f8ade38027a86638e74c10a0783f36da2c677de82,text-extracted
7,legislation,"Law on Banks Recovery and Resolution No 232, as of 03.10.2016","https://www.bnm.md/files/Law on Banks Recovery and Resolution no 232, as of 03_10_2016.pdf",https://www.bnm.md/en/content/law-banks-recovery-and-resolution-no-232-03102016,"original/007__Law on Banks Recovery and Resolution no 232, as of 03_10_2016.pdf","documents/007__Law on Banks Recovery and Resolution no 232, as of 03_10_2016.pdf.md",a7cf03970af823be3a180985c72805d8554cf213827332f828163ca330b5be8e,d07e18d87b1a7f4bdeb4478c3fd9f8d77c26cb06af15adab9b819ec86ac24260,text-extracted
8,legislation,"Law on Banks Recovery and Resolution No 232, as of 03.10.2016","https://www.bnm.md/files/Law on Banks Recovery and Resolution no 232, as of 03_10_2016.docx",https://www.bnm.md/en/content/law-banks-recovery-and-resolution-no-232-03102016,"original/008__Law on Banks Recovery and Resolution no 232, as of 03_10_2016.docx","documents/008__Law on Banks Recovery and Resolution no 232, as of 03_10_2016.docx.md",d8d2855dcab57a916d4dc2c6e0bcc04c07a6f99b8f73ccc40a3ea6ef692cc078,14056584ab7c201d5337d9f49cbfc76b7f7bbe4c96305515764aea2422332d5e,text-extracted
9,legislation,Law on banks liquidation No 550 of 21 July 1995,"https://www.bnm.md/files/Law on banks liquidation no 550-XIII, as of 21_07_1995.pdf",https://www.bnm.md/en/content/law-financial-institutions-no-550-xiii-21071995,"original/009__Law on banks liquidation no 550-XIII, as of 21_07_1995.pdf","documents/009__Law on banks liquidation no 550-XIII, as of 21_07_1995.pdf.md",25ed66c21f86a4c23e5b1e271f5d8b9b4d0b02447c12c8a0da0b85dbbb2536f3,c2ac541e7134893dcd8513f9067f7e2c07d308ff7d3815cf809c6a5750b5f12d,text-extracted
10,legislation,Law on banks liquidation No 550 of 21 July 1995,"https://www.bnm.md/files/Law on banks liquidation no 550-XIII, as of 21_07_1995.doc",https://www.bnm.md/en/content/law-financial-institutions-no-550-xiii-21071995,"original/010__Law on banks liquidation no 550-XIII, as of 21_07_1995.doc","documents/010__Law on banks liquidation no 550-XIII, as of 21_07_1995.doc.md",71090e3b48cfa4202c6caa49fae0d453123d099bb27b0d9903c03c1a9c63cd55,cc727733ac363de77e45963ef78d3bf428447fb6efa1a110f0f572e8f84739e4,text-extracted
