id,kind,title,file_url,source_record,original,raw,source_file_sha256,body_sha256,extraction_status
205,report,Annual Report 2024,https://www.bnm.md/files/Annual_Report_2024.pdf,https://www.bnm.md/en/content/annual-report-2024,original/205__Annual_Report_2024.pdf,documents/205__Annual_Report_2024.pdf.md,2d3ece3dd53584225e9f6c8db32d353289188850aa418adc5790cd3371c2968d,48f6ac72161ce2e01cd4e8b41741fff3885a90b820ba08c7a515c55250874fa2,text-extracted
206,report,Annual Report 2023,https://www.bnm.md/files/Annual_Report_2023.pdf,https://www.bnm.md/en/content/annual-report-2023,original/206__Annual_Report_2023.pdf,documents/206__Annual_Report_2023.pdf.md,86cc824cefaf81b77fd2cfec1c7fb47d16c4e54cbf829fa1bd5062329963db48,46b22cb640ae6519b51cd128b66ca2df926d1c89c38dddd07c831176638eceb7,text-extracted
207,report,Annual Report 2022,https://www.bnm.md/files/Annual Report_2022_en.pdf,https://www.bnm.md/en/content/annual-report-2022,original/207__Annual Report_2022_en.pdf,documents/207__Annual Report_2022_en.pdf.md,e4e2d2200fcb73f82b46e2d69e5c508c9690245e6f06c2fbb56cc17da9991415,60fb607a2d03d1ca537610f8c3a77716939c59070cb62c69ebf2fe856fdbed4e,text-extracted
208,report,Annual Report 2021,https://www.bnm.md/files/Annual_Report_2021.pdf,https://www.bnm.md/en/content/annual-report-2021,original/208__Annual_Report_2021.pdf,documents/208__Annual_Report_2021.pdf.md,9ffbada86fce7c0fc75f43931131019a5f44cb045dfb0d7446053923bc4a12a4,aeaada27336a1b1a38959235a37da3e29df66cfe9e75e3b9fc4fef03132d734b,text-extracted
209,report,Annual Report 2020,https://www.bnm.md/files/Annual_Report_2020_1.pdf,https://www.bnm.md/en/content/annual-report-2020,original/209__Annual_Report_2020_1.pdf,documents/209__Annual_Report_2020_1.pdf.md,6e2f45c11d6625f121250509cb9adc79270e23c0027b7b964f6585b4072cbf85,500c9e3167b14b90511770531d08933ff8f832f39cea4da11b1d2e6393fe4203,text-extracted
210,report,Annual Report 2019,https://www.bnm.md/files/Annual_Report_2019_1.pdf,https://www.bnm.md/en/content/annual-report-2019,original/210__Annual_Report_2019_1.pdf,documents/210__Annual_Report_2019_1.pdf.md,56f67f808b110684c0eb98ce7f6bf3f21a4e548c82456d01b5e85e1e783ddaa5,d2186750ed51d67f84cd83b0d66c7ab542a67b03ea2b78f802209ef0b9d586a7,text-extracted
211,report,Annual Report 2018,https://www.bnm.md/files/Annual_Report_2018.pdf,https://www.bnm.md/en/content/annual-report-2018,original/211__Annual_Report_2018.pdf,documents/211__Annual_Report_2018.pdf.md,ab76fb4b432b016050e8c8a1d017cf8c13844ef1c0deeb7782bdebdc316aeb0c,2c25e197fa0012e88db9d154af73d7be32a10eb217d068d013f209833302c0cd,text-extracted
212,report,Annual Report 2017,https://www.bnm.md/files/RA_2017_en.pdf,https://www.bnm.md/en/content/annual-report-2017,original/212__RA_2017_en.pdf,documents/212__RA_2017_en.pdf.md,dccb9559c0e9b0dfc5cef38e982a608716a9274d89132af9de6cfff8bad56a21,57e701b83e84e541e41d8c323a3d6d0d92622cd9c3833e5411e1587ef0eee8c8,text-extracted
213,report,Annual Report 2016,https://www.bnm.md/files/RA_2016_EN_1.pdf,https://www.bnm.md/en/content/annual-report-2016,original/213__RA_2016_EN_1.pdf,documents/213__RA_2016_EN_1.pdf.md,880a20b88f26c90c020f6c2265cf869a84470f41bd126afbe6a05316aa821592,d6cbf2cd02c729a55fbb7cfd1080bf0f4fe04a8a26a98ed572421444f584d21e,text-extracted
214,report,Annual Report 2015,https://www.bnm.md/files/RA_2015_eng.pdf,https://www.bnm.md/en/content/raport-anual-2015,original/214__RA_2015_eng.pdf,documents/214__RA_2015_eng.pdf.md,59594f78b7f6e41bb735f830aadb35782afedfcbd1cc7cc142e4ea7d3baeaead,2fff6098351001d4f157233efb7bd78f7680bcac3ddb5cd19096d43b19653200,text-extracted
